"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\programming\Project_1\Front-end\CHANGELOG.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
"d:\programming\Project_1\Front-end\Documentation\documentation.html", "HTML", 0, 0, 0, 0, 0, 0, 151, 23, 3, 177
"d:\programming\Project_1\Front-end\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 12, 2, 14
"d:\programming\Project_1\Front-end\README.md", "Markdown", 0, 0, 257, 0, 0, 0, 0, 0, 64, 321
"d:\programming\Project_1\Front-end\gulpfile.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 35, 10, 75
"d:\programming\Project_1\Front-end\jsconfig.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 5, 0, 10
"d:\programming\Project_1\Front-end\package-lock.json", "JSON", 16712, 0, 0, 0, 0, 0, 0, 0, 1, 16713
"d:\programming\Project_1\Front-end\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\programming\Project_1\Front-end\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 42, 3, 63
"d:\programming\Project_1\Front-end\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\programming\Project_1\Front-end\src\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 9208, 0, 7, 1, 9216
"d:\programming\Project_1\Front-end\src\assets\css\paper-kit.css", "CSS", 0, 0, 0, 0, 0, 10743, 0, 279, 1556, 12578
"d:\programming\Project_1\Front-end\src\assets\css\paper-kit.min.css", "CSS", 0, 0, 0, 0, 0, 14783, 0, 27, 1, 14811
"d:\programming\Project_1\Front-end\src\assets\demo\demo.css", "CSS", 0, 0, 0, 0, 0, 2858, 0, 29, 469, 3356
"d:\programming\Project_1\Front-end\src\assets\demo\react-demo.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 2, 40
"d:\programming\Project_1\Front-end\src\assets\img\photo_swipe\default-skin.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\programming\Project_1\Front-end\src\assets\img\sure3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\programming\Project_1\Front-end\src\assets\img\sureDark.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit.scss", "SCSS", 0, 0, 0, 60, 0, 0, 0, 25, 12, 97
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_alerts.scss", "SCSS", 0, 0, 0, 58, 0, 0, 0, 0, 4, 62
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_animate.scss", "SCSS", 0, 0, 0, 1256, 0, 0, 0, 11, 313, 1580
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_animated-buttons.scss", "SCSS", 0, 0, 0, 59, 0, 0, 0, 1, 11, 71
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_badges.scss", "SCSS", 0, 0, 0, 34, 0, 0, 0, 1, 2, 37
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_bootstrap-switch.scss", "SCSS", 0, 0, 0, 226, 0, 0, 0, 0, 37, 263
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_buttons.scss", "SCSS", 0, 0, 0, 203, 0, 0, 0, 1, 25, 229
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_cards.scss", "SCSS", 0, 0, 0, 474, 0, 0, 0, 0, 81, 555
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_carousel.scss", "SCSS", 0, 0, 0, 85, 0, 0, 0, 0, 6, 91
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_checkbox-radio.scss", "SCSS", 0, 0, 0, 124, 0, 0, 0, 0, 19, 143
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_collapse.scss", "SCSS", 0, 0, 0, 53, 0, 0, 0, 3, 2, 58
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_dropdown-extend.scss", "SCSS", 0, 0, 0, 443, 0, 0, 0, 4, 56, 503
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_dropdown.scss", "SCSS", 0, 0, 0, 122, 0, 0, 0, 27, 20, 169
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_examples.scss", "SCSS", 0, 0, 0, 894, 0, 0, 0, 5, 35, 934
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_footers.scss", "SCSS", 0, 0, 0, 240, 0, 0, 0, 1, 21, 262
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_headers.scss", "SCSS", 0, 0, 0, 145, 0, 0, 0, 1, 17, 163
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_images.scss", "SCSS", 0, 0, 0, 65, 0, 0, 0, 0, 2, 67
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_info-areas.scss", "SCSS", 0, 0, 0, 58, 0, 0, 0, 0, 5, 63
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_inputs.scss", "SCSS", 0, 0, 0, 188, 0, 0, 0, 0, 26, 214
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_media.scss", "SCSS", 0, 0, 0, 84, 0, 0, 0, 0, 6, 90
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_misc-extended.scss", "SCSS", 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_misc.scss", "SCSS", 0, 0, 0, 168, 0, 0, 0, 6, 23, 197
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_mixins.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 2, 4, 16
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_modal.scss", "SCSS", 0, 0, 0, 84, 0, 0, 0, 1, 7, 92
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_navbar-extend.scss", "SCSS", 0, 0, 0, 284, 0, 0, 0, 4, 42, 330
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_navbars.scss", "SCSS", 0, 0, 0, 150, 0, 0, 0, 0, 7, 157
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_nucleo-icons.scss", "SCSS", 0, 0, 0, 435, 0, 0, 0, 29, 103, 567
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_nucleo-outline.scss", "SCSS", 0, 0, 0, 435, 0, 0, 0, 29, 103, 567
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_pagination.scss", "SCSS", 0, 0, 0, 295, 0, 0, 0, 1, 24, 320
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_preloaders.scss", "SCSS", 0, 0, 0, 270, 0, 0, 0, 1, 11, 282
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_progress-bars.scss", "SCSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_responsive.scss", "SCSS", 0, 0, 0, 902, 0, 0, 0, 6, 73, 981
